Friendly Name,Country,Number Type,End User Type,Sid,Wave,(Target) Release Date
Benin: Mobile - Individual,BJ,Mobile,Individual,RN916cbb2f415f783e2c540e071fa31e97,Wave 2,1/17/2024
Bosnia and Herzegovina: National - Business,BA,National,Business,RN00664e2ae0451a9ccfb6f9af1681185b,Wave 2,1/17/2024
Bosnia and Herzegovina: National - Individual,BA,National,Individual,RNfc0aa7037558c2dfd9d1f4a1e999dd91,Wave 2,1/17/2024
Bulgaria: Local - Business,BG,Local,Business,RN37b6edcaeda545157b1606ec6805602e,Wave 2,1/17/2024
Bulgaria: Local - Individual,BG,Local,Individual,RNc57b56e37902da753c4c3a5b9e662304,Wave 2,1/17/2024
Bulgaria: Toll-Free - Business,BG,Toll Free,Business,RN27407613a886adcef9824544881eeb68,Wave 2,1/17/2024
Bulgaria: Toll-Free - Individual,BG,Toll Free,Individual,RN908f363a5caa08fc96e909c4f8d7b974,Wave 2,1/17/2024
Chile: Local - Business,CL,Local,Business,RN78b594f0edfd788a8ae99285dbaa6221,Wave 2,1/17/2024
Chile: Local - Individual,CL,Local,Individual,RN10933a2626250bc6ce8bdb6cfb79e16f,Wave 2,1/17/2024
Chile: Toll-Free - Business,CL,Toll Free,Business,RN90d41859f8cf1f1b5ff0dc931a138441,Wave 2,1/17/2024
Chile: Toll-Free - Individual,CL,Toll Free,Individual,RN9a6e708b63da2fc0df4eaedced6a648f,Wave 2,1/17/2024
Colombia: Local - Business,CO,Local,Business,RNba1d41c4adfc4a08f0418a65cdc0e319,Wave 2,1/17/2024
Colombia: Local - Individual,CO,Local,Individual,RN8e3f7e391bbd36f3464521abbfc603fd,Wave 2,1/17/2024
Colombia: Toll-Free - Business,CO,Toll Free,Business,RN0f88dd0f684f2510b47859362840e647,Wave 2,1/17/2024
Colombia: Toll-Free - Individual,CO,Toll Free,Individual,RN9bdfa2000dc22ad79daaae18e3deba49,Wave 2,1/17/2024
Costa Rica: National - Business,CR,National,Business,RNffd4fd0336145e632313dfb380c25966,Wave 2,1/17/2024
Costa Rica: National - Individual,CR,National,Individual,RNddc656c9e7d55e3d985e920982bd5dd8,Wave 2,1/17/2024
Costa Rica: Toll-Free - Business,CR,Toll Free,Business,RNfb60f31293635a203bfc6c5979037dcb,Wave 2,1/17/2024
Croatia: Local - Business,HR,Local,Business,RN35b90f399b4cd2ee4151fce2b9810893,Wave 2,1/17/2024
Croatia: Local - Individual,HR,Local,Individual,RN19eec2316340494136c6ba36b39ef47f,Wave 2,1/17/2024
Croatia: Toll-Free - Business,HR,Toll Free,Business,RN66c4bc2a88f1cdbb079d173a1f12f4e0,Wave 2,1/17/2024
Croatia: Toll-Free - Individual,HR,Toll Free,Individual,RN18e140f49fa25d3bcf9bddb3dae4f3d5,Wave 2,1/17/2024
Czech Republic: Local - Business,CZ,Local,Business,RNcf84ba9706841c8c5fc07d066a524632,Wave 2,1/17/2024
Czech Republic: Local - Individual,CZ,Local,Individual,RN70bc36ffeee3549155743b66860930ec,Wave 2,1/17/2024
Czech Republic: Mobile - Business,CZ,Mobile,Business,RN8b66e6806f0ee9fefc1c90c88de154e8,Wave 2,1/17/2024
Czech Republic: Mobile - Individual,CZ,Mobile,Individual,RN1ca2f82d84d2cdc1e6618d1d6b2366c6,Wave 2,1/17/2024
Denmark: Local - Business,DK,Local,Business,RNecbd353dafb54bf17f8be6c8044c6d52,Wave 2,1/17/2024
Denmark: Local - Individual,DK,Local,Individual,RN26a7303c2d9ffbec84e2455c22e5cf08,Wave 2,1/17/2024
Dominican Republic: Local - Business,DO,Local,Business,RN1aff8a2061891b2f1118e10c2e8e28b3,Wave 2,1/17/2024
Dominican Republic: Local - Individual,DO,Local,Individual,RN0bc6be93ba62a5b37a38f31ccb7de9bc,Wave 2,1/17/2024
Dominican Republic: Toll-Free - Business,DO,Toll Free,Business,RNe88ac7c83caf59ff913829fc306bf7c7,Wave 2,1/17/2024
Dominican Republic: Toll-Free - Individual,DO,Toll Free,Individual,RN9c50a2a3c426349f699d04a62fe18a64,Wave 2,1/17/2024
Ecuador: Local - Business,EC,Local,Business,RN2b38ba7b3a8f3a06f424bcc7e31a66cf,Wave 2,1/17/2024
Ecuador: Local - Individual,EC,Local,Individual,RNe94b75bc9225114c60e5bac92ffbbc76,Wave 2,1/17/2024
Estonia: Mobile - Business,EE,Mobile,Business,RN26dca8d0e541a6c8fce4abd46e518506,Wave 2,1/17/2024
Estonia: Mobile - Individual,EE,Mobile,Individual,RN88c2810570ee6cdea58d97e5db9b9c0f,Wave 2,1/17/2024
Estonia: National - Business,EE,National,Business,RN6b9fd53bde8a4e6b32079ef7cddf18c0,Wave 2,1/17/2024
Estonia: National - Individual,EE,National,Individual,RNd8bb02ae0484f332bb31f0fddbd38476,Wave 2,1/17/2024
Estonia: Toll-Free - Business,EE,Toll Free,Business,RNfd9d6a7c301fae6deff08c61a21de949,Wave 2,1/17/2024
Estonia: Toll-Free - Individual,EE,Toll Free,Individual,RN758c220d99609236fb67aa11f2dfde79,Wave 2,1/17/2024
Ghana: Mobile - Business,GH,Mobile,Business,RN4f02d60b514834a1d69181c7d0985426,Wave 2,1/17/2024
Ghana: Mobile - Individual,GH,Mobile,Individual,RN5b0f15e532dcba0b56fc91aa775a0374,Wave 2,1/17/2024
Greece: Toll-Free - Business,GR,Toll Free,Business,RNebd638514ca744faf53eb67300bce43c,Wave 2,1/17/2024
Greece: Toll-Free - Individual,GR,Toll Free,Individual,RNcd03aedd59d85bc350b2cd50c5afa51d,Wave 2,1/17/2024
Grenada: Local - Business,GD,Local,Business,RN725a0b730e0b89b8531bb0688080f101,Wave 2,1/17/2024
Grenada: Local - Individual,GD,Local,Individual,RN967297c907d87a5976e1f8908a61cad0,Wave 2,1/17/2024
Hong Kong: National - Business,HK,National,Business,RN8b809b61a1a2bc9b47ec9277d84dc841,Wave 2,1/17/2024
Hong Kong: National - Individual,HK,National,Individual,RNe14ecbde28150ab84904440ecb9bc283,Wave 2,1/17/2024
Hong Kong: Toll-Free - Business,HK,Toll Free,Business,RN4c761af89f416ea0b9909b0bb6b85718,Wave 2,1/17/2024
Hong Kong: Toll-Free - Individual,HK,Toll Free,Individual,RN7de86d0f83239df297195a28018ff86f,Wave 2,1/17/2024
Hong Kong: Mobile - Business,HK,Mobile,Business,RN66e6a4c30b9bc1c3a3c636cfebeede74,,
Hong Kong: Mobile - Individual,HK,Mobile,Individual,RN4ff8a1464f14f638da9d9f53a0f53e16,,
Hungary: Local - Business,HU,Local,Business,RN6860bbd9517e6554dc78c0041939f6cc,Wave 2,1/17/2024
Hungary: Local - Individual,HU,Local,Individual,RN3a175ca7740a45bfe597cee270e706c6,Wave 2,1/17/2024
Hungary: Mobile - Business,HU,Mobile,Business,RN8408497ab313fc324e272ec79484ba83,Wave 2,1/17/2024
Hungary: Mobile - Individual,HU,Mobile,Individual,RN6f5f698fcfe505770d9dd79847aedc54,Wave 2,1/17/2024
Hungary: Toll-Free - Business,HU,Toll Free,Business,RN530f05093708848548a6ee0adf75e9d8,Wave 2,1/17/2024
Hungary: Toll-Free - Individual,HU,Toll Free,Individual,RN4c7c195de0ab9c7034ff72a183e65e00,Wave 2,1/17/2024
Iceland: Local - Business,IS,Local,Business,RN71253c26e83e2267e5ae55151838421b,Wave 2,1/17/2024
Iceland: Local - Individual,IS,Local,Individual,RN822865ed87208b70c50860665afcaa6b,Wave 2,1/17/2024
Iceland: Mobile - Business,IS,Mobile,Business,RNd36f6fb41d2c536be74a42c2ac6b41d3,Wave 2,1/17/2024
Iceland: Mobile - Individual,IS,Mobile,Individual,RNd36dcf14cd68f5cd6582377480f13a52,Wave 2,1/17/2024
Indonesia: Local - Business,ID,Local,Business,RN48f693684e4546e1997cf77dac93da9f,Wave 2,1/17/2024
Indonesia: Local - Individual,ID,Local,Individual,RN569325039eb53a52cb387eedab3d3ffe,Wave 2,1/17/2024
Indonesia: Mobile - Business,ID,Mobile,Business,RN0ee6c4b35962f8dc999d3b71bb5160c2,Wave 2,1/17/2024
Indonesia: Mobile - Individual,ID,Mobile,Individual,RNc6d7a78cc4358d19c38b3fcbc0e3ba71,Wave 2,1/17/2024
Indonesia: Toll-Free - Business,ID,Toll Free,Business,RN581d4e917a8612eb36f0af24ecc6b592,Wave 2,1/17/2024
Indonesia: Toll-Free - Individual,ID,Toll Free,Individual,RNb6e54f22f77d4aff951e01a171fa2eec,Wave 2,1/17/2024
Ireland: Toll-Free - Business,IE,Toll Free,Business,RN7447f39f0e45b78649c56b1e7d16d190,Wave 2,1/17/2024
Ireland: Local - Business,IE,Local,Business,RN5b82d0c001b4ef265770d022986f794f,,
Ireland: Mobile - Business,IE,Mobile,Business,RN833211a3ea4a28ad066c44fd2fa95bf9,,
Ireland: Local - Business,IE,Local,Individual,RNc2b0d6e647462e65bcc1479e7130315d,,
Ireland: Mobile - Business,IE,Mobile,Individual,RN8fc29cda0b787c009c112fb29cdc2236,,
Isle of Man: Mobile - Business,IM,Mobile,Business,RNad18fc01161de0f6efb2214f1116f2af,Wave 2,1/17/2024
Isle of Man: Mobile - Individual,IM,Mobile,Individual,RN089188ddefff1642a1bb6671302483a9,Wave 2,1/17/2024
Italy: Local - Business,IT,Local,Business,RN8da8cee7959c1f0fe2b9844a214a75ad,Wave 2,1/17/2024
Italy: Local - Individual,IT,Local,Individual,RN986407519149b6b43e20b71391706e9f,Wave 2,1/17/2024
Italy: Mobile - Business,IT,Mobile,Business,RN1ed06ff26924986ca82dacb87ceae152,Wave 2,1/17/2024
Italy: Mobile - Individual,IT,Mobile,Individual,RNc7ce84c4ce1031249d444f45dd503d8d,Wave 2,1/17/2024
Jamaica: Local - Business,JM,Local,Business,RNc3323c50712c9877e080c19f1aa3f82a,Wave 2,1/17/2024
Jamaica: Local - Individual,JM,Local,Individual,RN761e5a812b6273a95f2037bfd9d8b4ac,Wave 2,1/17/2024
Jordan: Toll-Free - Business,JO,Toll Free,Business,RN39c25fe3be998a16244d1d66c212913e,Wave 2,1/17/2024
Jordan: Toll-Free - Individual,JO,Toll Free,Individual,RN00fdba9ac80094b199b3031390905505,Wave 2,1/17/2024
Lithuania: Local - Business,LT,Local,Business,RNab2d13a9305820c737039a02eb37f8d5,Wave 2,1/17/2024
Lithuania: Local - Individual,LT,Local,Individual,RN9cc8caf6c6432cb271bfad605051f14d,Wave 2,1/17/2024
Lithuania: Mobile - Business,LT,Mobile,Business,RNa57c58c7762ba126b9c91b08a85cb251,Wave 2,1/17/2024
Lithuania: Mobile - Individual,LT,Mobile,Individual,RN5d9b76f340cd276d695c612505896b86,Wave 2,1/17/2024
Luxembourg: Local - Business,LU,Local,Business,RN363f2ab7ca2e98cf88265db266dc96a8,Wave 2,1/17/2024
Luxembourg: Local - Individual,LU,Local,Individual,RNdb0fa7c0e2a177819c50b80c38d482e5,Wave 2,1/17/2024
Luxembourg: Toll-Free - Business,LU,Toll Free,Business,RN3415e7849c6fc824e5c0f369e7e27a6e,Wave 2,1/17/2024
Luxembourg: Toll-Free - Individual,LU,Toll Free,Individual,RN6fea7606fa9e498f73249e8b4c53f67a,Wave 2,1/17/2024
Macao: Mobile - Business,MO,Mobile,Business,RNe54d0a1874ac2d79cfdd51b4afda6c3a,Wave 2,1/17/2024
Macao: Mobile - Individual,MO,Mobile,Individual,RN9b9c25edfb6a11f94601eedee049dc11,Wave 2,1/17/2024
Malaysia: Local - Business,MY,Local,Business,RNce4e84b7b246aae00695ce79491e95e5,Wave 2,1/17/2024
Malaysia: Local - Individual,MY,Local,Individual,RNb24b8f081b299f6efb9fa30c5730184a,Wave 2,1/17/2024
Malaysia: Mobile - Business,MY,Mobile,Business,RN0357248d363da59de649cedbde5b144e,Wave 2,1/17/2024
Malaysia: Mobile - Individual,MY,Mobile,Individual,RN0e2c9f3bf8c529d1ba2e165093ff9ae6,Wave 2,1/17/2024
Malaysia: Toll-Free - Business,MY,Toll Free,Business,RNf1ac7f3011cf03496091bc8964f88245,Wave 2,1/17/2024
Malaysia: Toll-Free - Individual,MY,Toll Free,Individual,RNd190196107d421320703e62e3b37b986,Wave 2,1/17/2024
Mali: Local - Business,ML,Local,Business,RN7fb202cf468f58363ca79744994d9a32,Wave 2,1/17/2024
Mali: Local - Individual,ML,Local,Individual,RNd492b7a21a8c68ed8d1f351c03ac4f9c,Wave 2,1/17/2024
Mauritius: Mobile - Business,MU,Mobile,Business,RNefd9065856cd09b3d30b7facffb14341,Wave 2,1/17/2024
Mauritius: Mobile - Individual,MU,Mobile,Individual,RNe69755701d30b1ad614ee2f217d37245,Wave 2,1/17/2024
Netherlands: Local - Business,NL,Local,Business,RN2c09a39861ae095ab34c4c71cad288ba,Wave 2,1/17/2024
Netherlands: Local - Individual,NL,Local,Individual,RN6c3a73cc36f26c2b2e40dbaac3eccb8f,Wave 2,1/17/2024
Netherlands: National - Business,NL,National,Business,RNc17173abec19b31cdfa05a6a3c78dc79,Wave 2,1/17/2024
Netherlands: National - Individual,NL,National,Individual,RNc16a8930a9b173acf232fcd168bd35ad,Wave 2,1/17/2024
New Zealand: Local - Business,NZ,Local,Business,RN7c291e269e59f60296c57738931069f1,Wave 2,1/17/2024
New Zealand: Local - Individual,NZ,Local,Individual,RNe2f0ecbb762d18238fed0634e5af27d9,Wave 2,1/17/2024
Norway: Local - Business,NO,Local,Business,RNc548b7a0e4da4e5ae4daae71dbcf1216,Wave 2,1/17/2024
Norway: Local - Individual,NO,Local,Individual,RNcdfc0c191ba3847eac38bef19f90ab55,Wave 2,1/17/2024
Norway: Mobile - Business,NO,Mobile,Business,RN2012d7c905f4c8fc29e47de1d1c04bfe,Wave 2,1/17/2024
Norway: Mobile - Individual,NO,Mobile,Individual,RN869e72c4579696848aa820fb79a53ace,Wave 2,1/17/2024
Norway: Toll-Free - Business,NO,Toll Free,Business,RNa56c67d599ffa7699379b5ac525ee082,Wave 2,1/17/2024
Norway: Toll-Free - Individual,NO,Toll Free,Individual,RNc971a4621d4c816854175962c207e323,Wave 2,1/17/2024
Panama: Local - Business,PA,Local,Business,RN272ea0791e58c5ecb9d0062e529a01f2,Wave 2,1/17/2024
Panama: Local - Individual,PA,Local,Individual,RNde70a740c45325a2dc7af61c9aff13fb,Wave 2,1/17/2024
Panama: Toll-Free - Business,PA,Toll Free,Business,RN0d7fb016892e7221d5cc7ea78e9929af,Wave 2,1/17/2024
Panama: Toll-Free - Individual,PA,Toll Free,Individual,RN6f62e79f0937e5b790d0d660fe27e143,Wave 2,1/17/2024
Philippines: Local - Business,PH,Local,Business,RNa61638b74bdee50d8cd482a59e77c161,Wave 2,1/17/2024
Philippines: Local - Individual,PH,Local,Individual,RN1792a71dab1b7f16340c00cc8a3786b9,Wave 2,1/17/2024
Philippines: Toll-Free - Business,PH,Toll Free,Business,RNc5c5c4dd30c2459f8b57752b4246cdad,Wave 2,1/17/2024
Philippines: Toll-Free - Individual,PH,Toll Free,Individual,RN511dd167632fbea5e4c9bb6a609183a5,Wave 2,1/17/2024
Poland: Local - Business,PL,Local,Business,RN16243b9a2e79f902938b5ac99ec0eec2,Wave 2,1/17/2024
Poland: Local - Individual,PL,Local,Individual,RNa693385545ea88a1fd083060615c7f4a,Wave 2,1/17/2024
Poland: Mobile - Business,PL,Mobile,Business,RN3457acf6f41ee183e7f8ddc5181cb8fd,Wave 2,1/17/2024
Poland: Mobile - Individual,PL,Mobile,Individual,RN233736af8eb71fba1d9b8a92ab711533,Wave 2,1/17/2024
Poland: Toll-Free - Business,PL,Toll Free,Business,RN8d5eeb8a15a4d40c965e067664ba6205,Wave 2,1/17/2024
Poland: Toll-Free - Individual,PL,Toll Free,Individual,RNec4415a283ce4bb09bc25fdccea8c856,Wave 2,1/17/2024
Portugal: Mobile - Business,PT,Mobile,Business,RN2c243c6c14918274785834e53e926c1e,Wave 2,1/17/2024
Portugal: Mobile - Individual,PT,Mobile,Individual,RNa8b395bd52623c25cc7c8310a08599a2,Wave 2,1/17/2024
Portugal: National - Business,PT,National,Business,RN367668e120512490c44e588f94ee07ec,Wave 2,1/17/2024
Portugal: National - Individual,PT,National,Individual,RNb93ca1c0a4b85b78427dfb361625a853,Wave 2,1/17/2024
Portugal: Toll-Free - Business,PT,Toll Free,Business,RNecbe04ddd0422262987c98e9a690c271,Wave 2,1/17/2024
Portugal: Toll-Free - Individual,PT,Toll Free,Individual,RN0fd79aff106ed63cb1d5d06e3e35fa79,Wave 2,1/17/2024
Qatar: Toll-Free - Business,QA,Toll Free,Business,RN2b53fb2deccd127c9602017d15b9d58d,Wave 2,1/17/2024
Qatar: Toll-Free - Individual,QA,Toll Free,Individual,RN17b5f2b9da20101dbce4e44a0f05f91e,Wave 2,1/17/2024
Saudi Arabia: Toll-Free - Business,SA,Toll Free,Business,RNb56030e3ad016cf1e48b772336dcfc3f,Wave 2,1/17/2024
Saudi Arabia: Toll-Free - Individual,SA,Toll Free,Individual,RNbe14f7947f43573a87da258a9bd99c33,Wave 2,1/17/2024
Singapore: Mobile - Business,SG,Mobile,Business,RNf07b8a2c3a7e05230dd71b5b626e6c37,Wave 2,1/17/2024
Singapore: Mobile - Individual,SG,Mobile,Individual,RNfd47da82f85fda410d204df53f5a46b7,Wave 2,1/17/2024
Singapore: National - Business,SG,National,Business,RN5abae846be0d542e594f7ee0773e6366,Wave 2,1/17/2024
Slovakia: Mobile - Business,SK,Mobile,Business,RN4245f471ce01c11d71a0bc1e27c06faa,Wave 2,1/17/2024
Slovakia: Mobile - Individual,SK,Mobile,Individual,RN62030de04e570c4b68e2dc5814505c0c,Wave 2,1/17/2024
Slovakia: Toll-Free - Business,SK,Toll Free,Business,RN291d8977a1e9cbd188371e85d18fa761,Wave 2,1/17/2024
Slovakia: Toll-Free - Individual,SK,Toll Free,Individual,RNa24e162f5c8c46eaf772692af12026d1,Wave 2,1/17/2024
Slovenia: Local - Business,SI,Local,Business,RNb570b638ff955a3970f13acf997431aa,Wave 2,1/17/2024
Slovenia: Local - Individual,SI,Local,Individual,RN9b048c186d68128efe76e0dd14ca9635,Wave 2,1/17/2024
South Africa: Local - Business,ZA,Local,Business,RN843498f3975ccf56fa876c8a46ccc2fa,Wave 2,1/17/2024
South Africa: Local - Individual,ZA,Local,Individual,RNfdbc42b99946ad45548d7f7e036036e9,Wave 2,1/17/2024
