Friendly Name,Country,Number Type,End User Type,Sid,Wave,(Target) Release Date
United Kingdom: Mobile - Business,GB,Mobile,Business,RNb257214105d3b9526d5f80359b863452,Wave 2,1/17/2024
United Kingdom: Mobile - Individual,GB,Mobile,Individual,RNbda16e54b024fc1d8a0213f5477dc624,Wave 2,1/17/2024
United Kingdom: National - Business,GB,National,Business,RN8874edb3b3e90fd858b9813329117eeb,Wave 2,1/17/2024
United Kingdom: National - Individual,GB,National,Individual,RN1bbfcd893e1e41232b048d5873eeac75,Wave 2,1/17/2024
United Kingdom: Toll-Free - Business,GB,Toll Free,Business,RN86a5860a853f40aa43c3e00f7064b004,Wave 2,1/17/2024
United Kingdom: Toll-Free - Individual,GB,Toll Free,Individual,RNb7d9559cf3c72eb796f4b979dcd75187,Wave 2,1/17/2024
Venezuela: Toll-Free - Business,VE,Toll Free,Business,RNc12df86cd96740e16c95f2d3b1a523d4,Wave 2,1/17/2024
Venezuela: Toll-Free - Individual,VE,Toll Free,Individual,RN58a38b8f3454c863228a3906e1fe28de,Wave 2,1/17/2024
Vietnam: Toll-Free - Business,VN,Toll Free,Business,RNf25e0d94a6b1f1a28aac67a0ce765257,Wave 2,1/17/2024
Vietnam: Toll-Free - Individual,VN,Toll Free,Individual,RN48af94152f03720c04b01d2ac9783ccb,Wave 2,1/17/2024
El Salvador: Local - Business,SV,Local,Business,RNc4b864cb851f996e4138420bd094611d,Wave 3,2/28/2024
El Salvador: Local - Individual,SV,Local,Individual,RNbf696e5cdb0fd0b5a969a1de059e6e36,Wave 3,2/28/2024
France: Local - Business,FR,Local,Business,RN8167296a197662fee28116709abd15e3,Wave 3,2/28/2024
France: Local - Individual,FR,Local,Individual,RNd52ba1fbd96450c466ddfce8224e2687,Wave 3,2/28/2024
France: Mobile - Business,FR,Mobile,Business,RNaca279e510daf03a25aaddf35928d12a,Wave 3,2/28/2024
France: Mobile - Individual,FR,Mobile,Individual,RN5bbfbe78af18185e7d048e90cba2111f,Wave 3,2/28/2024
France: National - Business,FR,National,Business,RNf7f1a645078ef1d825b40d85bd3b51fb,Wave 3,2/28/2024
France: National - Individual,FR,National,Individual,RN43bdc5352b54df014cc6a28b184e6f79,Wave 3,2/28/2024
France: Toll-Free - Business,FR,Toll Free,Business,RN8bb481f8b8a088cd46d37543bfaf49e6,Wave 3,2/28/2024
Japan: Local - Business,JP,Local,Business,RN1f9c9cf88b82d09c573510a74d3cedde,Wave 3,2/28/2024
Japan: National - Business,JP,National,Business,RN3dc454c8ad532d27b18fa976e3507352,Wave 3,2/28/2024
Japan: Toll-Free - Business,JP,Toll Free,Business,RNce9afa7a6ffd665c5d42646ac41b5f4c,Wave 3,2/28/2024
Kenya: Local - Business,KE,Local,Business,RN8cc2ec46b4264ecd7899a110a7fbb947,Wave 3,2/28/2024
Kenya: Local - Individual,KE,Local,Individual,RNf43905e9964bd0aed907a5e5ec305bde,Wave 3,2/28/2024
Romania: National - Business,RO,National,Business,RN2210c4e06ee87662c4e91b80da04e227,Wave 3,2/28/2024
Romania: National - Individual,RO,National,Individual,RN9d563c09c6fd46c853f2f6568fcce01f,Wave 3,2/28/2024
Romania: Toll-Free - Business,RO,Toll Free,Business,RN996015323f99ce9eae798c24aef51531,Wave 3,2/28/2024
Romania: Toll-Free - Individual,RO,Toll Free,Individual,RNbfec5f7be513e325cbe048d141ec51be,Wave 3,2/28/2024
